City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Grand Gaube,MU,2022-08-25 00:52:56,-20.0064,57.6608,70.2,64,53,5.01
1,Whitehorse,CA,2022-08-25 00:48:05,60.7161,-135.0538,75.02,44,75,23.02
2,Busselton,AU,2022-08-25 00:52:57,-33.65,115.3333,54.88,61,45,4.79
3,Port Alfred,ZA,2022-08-25 00:52:57,-33.5906,26.891,80.19,27,0,5.01
4,Taoudenni,ML,2022-08-25 00:52:57,22.6783,-3.9836,96.85,28,6,17.56
5,East London,ZA,2022-08-25 00:52:58,-33.0153,27.9116,78.31,27,0,14.2
6,Ushuaia,AR,2022-08-25 00:48:34,-54.8,-68.3,42.46,42,20,11.5
7,Hobart,AU,2022-08-25 00:52:58,-42.8794,147.3294,58.26,69,75,3.44
8,Inta,RU,2022-08-25 00:52:59,66.0317,60.1659,43.21,90,23,10.2
9,Albany,US,2022-08-25 00:48:09,42.6001,-73.9662,75.06,75,7,5.14
10,Klaksvik,FO,2022-08-25 00:52:59,62.2266,-6.589,50.92,89,57,28.45
11,Ponta Do Sol,PT,2022-08-25 00:53:00,32.6667,-17.1,72.23,70,16,5.19
12,Pevek,RU,2022-08-25 00:53:00,69.7008,170.3133,44.78,82,100,3.94
13,Punta Arenas,CL,2022-08-25 00:53:01,-53.15,-70.9167,39.31,65,20,31.07
14,Puerto Madero,MX,2022-08-25 00:53:01,14.7208,-92.4215,79.11,84,88,8.01
15,Port Hawkesbury,CA,2022-08-25 00:52:20,45.6169,-61.3485,71.04,94,100,3.44
16,Coahuayana,MX,2022-08-25 00:53:02,18.7333,-103.6833,81.82,75,60,3.76
17,Geraldton,AU,2022-08-25 00:53:02,-28.7667,114.6,57.61,54,5,14.97
18,Hermanus,ZA,2022-08-25 00:53:03,-34.4187,19.2345,60.8,75,62,26.62
19,Ust-Nera,RU,2022-08-25 00:53:03,64.5667,143.2,52.95,71,98,8.1
20,Hirara,JP,2022-08-25 00:53:04,24.8,125.2833,89.87,74,40,11.5
21,Itarema,BR,2022-08-25 00:53:04,-2.9248,-39.9167,78.01,83,52,14.0
22,Harper,LR,2022-08-25 00:53:04,4.375,-7.7169,75.9,78,29,6.6
23,Arraial Do Cabo,BR,2022-08-25 00:53:05,-22.9661,-42.0278,66.94,85,96,15.59
24,Kodinsk,RU,2022-08-25 00:53:05,58.6881,99.1844,50.74,96,100,3.53
25,Chimbote,PE,2022-08-25 00:53:06,-9.0853,-78.5783,61.93,85,38,9.53
26,Bethel,US,2022-08-25 00:53:06,41.3712,-73.414,78.85,72,100,4.21
27,Victoria,HK,2022-08-25 00:50:10,22.2855,114.1577,82.45,93,100,15.99
28,Birao,CF,2022-08-25 00:53:07,10.2849,22.7882,70.54,94,100,3.98
29,Santa Lucia,ES,2022-08-25 00:51:26,27.9117,-15.5407,65.52,73,75,27.63
30,Jamestown,US,2022-08-25 00:50:50,42.097,-79.2353,73.04,68,0,4.61
31,Avarua,CK,2022-08-25 00:53:07,-21.2078,-159.775,78.85,65,40,10.36
32,Miri,MY,2022-08-25 00:52:30,4.4148,114.0089,78.94,89,20,3.44
33,Rikitea,PF,2022-08-25 00:53:08,-23.1203,-134.9692,69.42,62,26,15.52
34,Pacific Grove,US,2022-08-25 00:53:09,36.6177,-121.9166,73.54,86,75,8.05
35,Slave Lake,CA,2022-08-25 00:53:09,55.2834,-114.769,80.58,41,0,13.8
36,Nikolskoye,RU,2022-08-25 00:53:09,59.7035,30.7861,69.69,61,100,4.52
37,Touros,BR,2022-08-25 00:53:10,-5.1989,-35.4608,74.17,80,100,17.0
38,Linqiong,CN,2022-08-25 00:53:10,30.4159,103.4609,85.82,91,100,4.52
39,Vardo,NO,2022-08-25 00:53:11,70.3705,31.1107,49.98,87,100,14.97
40,Iqaluit,CA,2022-08-25 00:53:11,63.7506,-68.5145,42.53,86,100,16.11
41,Little Current,CA,2022-08-25 00:53:12,45.9793,-81.9248,71.65,70,98,4.23
42,Atuona,PF,2022-08-25 00:53:12,-9.8,-139.0333,77.14,71,59,12.55
43,Kavieng,PG,2022-08-25 00:53:12,-2.5744,150.7967,83.95,69,25,5.35
44,Boa Vista,BR,2022-08-25 00:53:13,2.8197,-60.6733,76.98,88,0,3.44
45,Hilo,US,2022-08-25 00:53:13,19.7297,-155.09,86.29,85,31,5.99
46,Cape Town,ZA,2022-08-25 00:54:14,-33.9258,18.4232,58.26,79,75,25.32
47,Concepcion Del Oro,MX,2022-08-25 00:54:14,24.6333,-101.4167,69.21,52,100,6.69
48,Aras,ES,2022-08-25 00:54:14,42.5617,-2.356,68.41,78,20,2.3
49,Evensk,RU,2022-08-25 00:54:15,61.95,159.2333,53.28,81,100,7.4
50,Wloszczowa,PL,2022-08-25 00:54:15,50.8526,19.9659,66.65,84,35,5.88
51,Batagay-Alyta,RU,2022-08-25 00:54:16,67.8006,130.4114,45.07,82,89,4.43
52,Mataura,NZ,2022-08-25 00:54:16,-46.1927,168.8643,49.48,56,100,2.13
53,Okrika,NG,2022-08-25 00:54:17,4.7416,7.0849,74.52,88,100,5.39
54,Nuuk,GL,2022-08-25 00:54:17,64.1835,-51.7216,41.92,97,100,16.37
55,Jeremie,HT,2022-08-25 00:54:18,18.65,-74.1167,82.04,78,49,2.24
56,Mangrol,IN,2022-08-25 00:54:18,21.1167,70.1167,79.61,85,68,12.3
57,Hasaki,JP,2022-08-25 00:54:18,35.7333,140.8333,82.29,78,50,10.8
