WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
252,Santa Lucia,ES,27.9117,-15.5407,59.76,68,20,9.22,Clouds
253,Qasigiannguit,GL,68.8193,-51.1922,8.85,95,100,5.55,Clouds
254,Nianzishan,CN,47.5167,122.8833,7.79,67,0,11.45,Clear
255,Ranau,MY,5.9538,116.6641,74.95,94,100,1.43,Clouds
256,Aktanysh,RU,55.7216,54.0829,8.38,96,64,6.89,Clouds
257,Quang Ngai,VN,15.1167,108.8,70.0,81,89,10.58,Clouds
258,Port Lincoln,AU,-34.7333,135.8667,69.08,64,0,9.91,Clear
259,Mporokoso,ZM,-9.3727,30.125,67.71,86,100,5.41,Rain
260,Sisimiut,GL,66.9395,-53.6735,5.13,80,100,10.76,Clouds
261,Mendeleyevsk,RU,55.9082,52.2905,13.24,97,97,7.31,Clouds
262,Sao Filipe,CV,14.8961,-24.4956,71.31,63,3,5.06,Clear
263,Ostrovnoy,RU,68.0531,39.5131,13.64,86,98,20.96,Clouds
264,Ahuimanu,US,21.4447,-157.8378,74.86,79,20,12.66,Clouds
265,Izhma,RU,65.0083,53.9113,0.73,91,22,9.42,Clouds
266,Paka,MY,4.6374,103.4368,84.13,70,20,9.22,Clouds
267,Meulaboh,ID,4.1363,96.1285,82.87,70,65,6.38,Clouds
268,Fremont,US,37.5483,-121.9886,61.43,94,100,6.91,Clouds
269,Kieta,PG,-6.2167,155.6333,80.26,77,73,6.2,Clouds
270,Jeremie,HT,18.65,-74.1167,73.99,76,0,3.15,Clear
271,Manokwari,ID,-0.8667,134.0833,77.95,70,100,8.75,Clouds
272,Srednekolymsk,RU,67.45,153.6833,-44.27,100,100,4.41,Clouds
273,Kologriv,RU,58.8275,44.3178,21.94,96,98,5.3,Clouds
274,Nampula,MZ,-15.1165,39.2666,80.55,69,75,8.05,Clouds
275,Storsteinnes,NO,69.2408,19.2344,38.05,87,100,9.8,Clouds
276,Alugan,PH,12.2188,125.4808,79.88,84,100,6.04,Clouds
277,Inuvik,CA,68.3499,-133.7218,-1.34,78,40,5.75,Snow
278,Kimbe,PG,-5.5502,150.1429,78.46,90,88,1.66,Rain
279,Sept-Iles,CA,50.2001,-66.3821,29.05,98,100,3.44,Fog
280,Canita,PA,9.2097,-78.8811,70.93,95,69,1.39,Clouds
281,Biak,ID,-0.9131,122.8766,81.91,74,95,7.83,Clouds
282,Hovd,MN,48.0056,91.6419,2.86,92,45,0.51,Clouds
283,Walvis Bay,NA,-22.9575,14.5053,72.55,64,0,3.44,Clear
284,Husavik,IS,66.0449,-17.3389,5.65,88,98,10.87,Clouds
285,Buala,SB,-8.145,159.5921,81.41,79,97,7.18,Clouds
286,Natchitoches,US,31.7668,-93.1335,58.05,100,100,0.0,Fog
287,Larsnes,NO,62.2028,5.5773,42.44,85,100,14.03,Rain
