WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
509,The Valley,AI,18.217,-63.0578,78.1,75,0,19.28,Clear
510,Sechura,PE,-5.5569,-80.8222,69.71,77,99,7.58,Clouds
511,Uray,RU,60.1247,64.7758,-12.96,98,89,4.14,Clouds
512,Merauke,ID,-8.4667,140.3333,79.9,83,100,13.35,Rain
513,Helmsdale,GB,58.1168,-3.6517,28.94,88,93,9.95,Clouds
514,Talara,PE,-4.5772,-81.2719,70.3,77,100,11.27,Clouds
515,Juruti,BR,-2.1522,-56.0922,73.38,96,100,1.52,Clouds
516,Shyroke,UA,47.6917,33.2571,43.11,76,1,2.59,Clear
517,Myingyan,MM,21.4667,95.3833,80.91,35,4,4.03,Clear
518,Ketchikan,US,55.3422,-131.6461,35.58,100,100,3.44,Fog
519,Terrace,CA,54.5163,-128.6035,31.91,74,75,16.11,Clouds
520,Rey Bouba,CM,8.6724,14.1786,81.18,16,45,5.1,Clouds
521,Yakima,US,46.4665,-120.6678,33.24,95,100,4.61,Mist
522,Kalakamati,BW,-20.5929,27.3121,81.23,37,43,11.92,Clouds
523,Gospic,HR,44.5461,15.3747,47.89,98,99,4.63,Clouds
524,Marzuq,YE,14.4,46.4667,71.58,32,4,6.46,Clear
525,Simao,CN,22.7886,100.9748,56.59,89,100,3.0,Clouds
526,Mangan,IN,27.5167,88.5333,59.76,61,89,4.94,Clouds
527,Emerald,AU,-23.5333,148.1667,87.35,45,98,14.09,Clouds
528,Dongkan,CN,33.9997,119.8308,43.21,39,100,2.48,Clouds
529,Rio Gallegos,AR,-51.6226,-69.2181,48.25,61,0,5.75,Clear
530,Necochea,AR,-38.5473,-58.7368,58.98,80,10,8.55,Clear
531,Chillicothe,US,39.3331,-82.9824,54.25,82,100,5.75,Rain
532,Plettenberg Bay,ZA,-34.0527,23.3716,70.61,57,2,8.25,Clear
533,Avera,US,33.194,-82.5271,60.31,95,100,7.65,Clouds
534,Pavlohrad,UA,48.5167,35.8667,41.36,78,3,8.81,Clear
535,Khuzhir,RU,53.1939,107.3397,-0.31,76,2,7.92,Clear
536,Yuci,CN,37.6803,112.7319,38.95,16,0,2.24,Clear
537,Ust-Uda,RU,54.1742,103.0304,-13.09,98,35,2.77,Clouds
538,Aloleng,PH,16.1307,119.7824,81.75,70,12,11.79,Clouds
539,Broken Hill,AU,-31.95,141.4333,93.79,24,85,13.62,Clouds
540,Mogadishu,SO,2.0371,45.3438,83.16,66,59,16.62,Clouds
541,Ixtapa,MX,20.7,-105.2,68.23,79,0,2.57,Clear
542,Smoky Lake,CA,54.1169,-112.4686,5.16,100,100,3.71,Clouds
543,Vostok,RU,46.4856,135.8833,0.0,97,38,4.94,Clouds
544,Chitral,PK,35.8462,71.7858,43.11,33,0,6.55,Clear
545,Lagos,NG,6.5833,3.75,75.52,15,80,5.99,Clouds
546,Kamenka,RU,51.3223,42.7678,34.09,100,100,13.13,Snow
547,Fjerritslev,DK,57.0813,9.2664,46.89,88,100,20.31,Rain
548,Muisne,EC,0.6,-80.0333,74.8,87,100,8.7,Rain
549,Itanagar,IN,27.1,93.6167,68.13,45,30,3.24,Clouds
550,Suhbaatar,MN,50.2314,106.2078,-6.72,100,51,2.08,Clouds
551,Boyolangu,ID,-8.1181,111.8935,80.74,81,100,3.53,Clouds
552,Ambovombe,MG,-25.1667,46.0833,84.42,60,25,13.29,Clouds
553,Key West,US,24.5557,-81.7826,75.0,100,0,5.99,Clear
554,Hirara,JP,24.8,125.2833,69.66,73,75,21.85,Clouds
555,Takhtamygda,RU,54.1,123.5667,-13.18,87,65,4.0,Clouds
556,Binga,ZW,-17.6203,27.3414,82.02,55,96,8.75,Rain
557,Sur,OM,22.5667,59.5289,74.52,42,0,10.69,Clear
558,Kolar,IN,13.1333,78.1333,81.36,35,26,6.93,Clouds
559,Aviles,ES,43.5547,-5.9248,69.19,26,0,5.75,Clear
560,Oxford,GB,51.7522,-1.256,56.05,89,20,20.71,Clouds
561,Acapulco,MX,16.8634,-99.8901,78.08,60,100,3.36,Clouds
562,Kropotkin,RU,45.4375,40.5756,47.28,54,99,11.21,Clouds
563,Chkalovskoye,RU,44.8392,133.0436,4.59,93,11,5.12,Clouds
564,Tahe,CN,52.3333,124.7333,-3.24,70,6,12.59,Clear
565,Karasburg,NA,-28.0167,18.75,91.11,10,0,12.75,Clear
566,Ugoofaaru,MV,5.6667,73.0,81.23,72,65,16.51,Clouds
567,San Cristobal,VE,7.7669,-72.225,62.78,77,89,1.74,Clouds
568,Benghazi,LY,32.1167,20.0667,62.42,64,19,5.99,Clouds
569,Lefka,CY,35.1106,32.8506,61.09,59,4,11.01,Clear
570,Port Macquarie,AU,-31.4333,152.9167,71.89,84,24,8.28,Clouds
571,Homer,US,59.6425,-151.5483,34.81,82,93,8.99,Clouds
572,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.47,79,93,8.16,Clouds
573,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,48,0,19.57,Clear
574,Imbituba,BR,-28.24,-48.6703,67.68,82,0,10.63,Clear
575,Tocopilla,CL,-22.092,-70.1979,66.83,64,8,4.23,Clear
576,Anna Paulowna,NL,52.862,4.834,56.01,95,75,32.01,Clouds
577,Hecun,CN,36.5333,114.1111,41.47,22,0,0.94,Clear
578,Navrongo,GH,10.8956,-1.0921,77.04,13,12,14.41,Clouds
579,Omboue,GA,-1.5746,9.2618,83.66,73,100,2.44,Clouds
580,Visnes,NO,59.3556,5.2242,43.21,75,75,35.68,Rain
581,Daru,PG,-9.0763,143.2092,80.01,80,100,6.17,Rain
582,Mangai,CD,-4.05,19.5333,73.45,94,100,2.21,Rain
583,Longyearbyen,SJ,78.2186,15.6401,31.84,80,75,20.71,Snow
584,Champerico,GT,14.3,-91.9167,75.43,79,29,7.72,Clouds
585,Namatanai,PG,-3.6667,152.4333,80.26,79,100,4.7,Clouds
586,Lar,IN,26.2039,83.9717,74.41,31,0,5.03,Clear
587,Guane,CU,22.2025,-84.0875,71.24,94,17,5.55,Clouds
588,Golden Gate,US,26.1879,-81.6951,67.98,97,100,3.44,Mist
589,Port-Gentil,GA,-0.7193,8.7815,84.16,84,40,4.61,Clouds
590,Aguimes,ES,27.9054,-15.4461,64.65,68,20,9.22,Clouds
591,Havelock,US,34.8791,-76.9013,67.98,89,100,9.22,Rain
592,Chabahar,IR,25.2919,60.643,71.56,33,100,1.86,Clouds
593,Port Moresby,PG,-9.4431,147.1797,83.62,70,40,11.5,Clouds
594,Zehdenick,DE,52.9785,13.3317,57.0,86,100,16.24,Rain
595,La Macarena,CO,2.1837,-73.7849,69.55,78,70,2.53,Clouds
596,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,66.74,59,0,8.43,Clear
597,Atasu,KZ,48.6814,71.6433,28.85,97,100,17.18,Snow
598,Dingle,PH,10.9995,122.6711,79.07,88,100,7.76,Clouds
599,Jishui,CN,33.7333,115.4,47.08,38,97,3.29,Clouds
600,Madhupur,IN,24.25,86.65,76.64,21,0,6.33,Clear
601,Barcelos,PT,41.5388,-8.6151,60.69,64,97,18.23,Clouds
602,Margate,GB,51.3813,1.3862,57.11,88,100,11.99,Clouds
603,Karasjok,NO,69.4719,25.5112,23.45,93,96,12.17,Snow
604,Vuktyl,RU,63.8567,57.3094,-15.77,97,27,2.89,Clouds
605,Pemberton,CA,50.3164,-122.8027,42.17,98,100,4.05,Clouds
606,Mabaruma,GY,8.2,-59.7833,70.27,100,50,1.21,Clouds
607,Bakaly,RU,55.1789,53.8028,11.75,95,83,4.07,Clouds
608,Chumikan,RU,54.7183,135.315,-4.59,81,100,5.39,Clouds
609,Evensk,RU,61.95,159.2333,-10.46,76,93,6.69,Clouds
610,Loralai,PK,30.3705,68.598,59.41,8,74,6.71,Clouds
611,Tamala,RU,52.541,43.2515,32.29,99,100,12.06,Snow
612,Billings,US,45.7833,-108.5007,29.16,64,99,7.0,Clouds
613,Laramie,US,41.3114,-105.5911,32.95,69,75,1.01,Clouds
614,Maceio,BR,-9.6658,-35.7353,74.64,94,40,2.3,Clouds
615,Bartica,GY,6.4,-58.6167,73.72,100,62,1.54,Clouds
616,Alakurtti,RU,66.9672,30.3491,15.78,95,100,7.11,Clouds
617,Chase,CA,50.8165,-119.6857,33.08,98,100,3.02,Clouds
618,Puerto Baquerizo Moreno,EC,-0.9,-89.6,71.85,92,100,8.86,Clouds
619,Tigil,RU,57.8,158.6667,1.31,99,99,2.51,Clouds
620,Turukhansk,RU,65.8167,87.9833,-17.41,83,46,7.36,Clouds
621,Leh,IN,34.1667,77.5833,18.43,62,42,5.5,Clouds
622,Bilma,NE,18.6853,12.9164,63.99,19,5,4.97,Clear
623,Tolmachevo,RU,54.9824,82.7363,8.58,78,100,8.99,Snow
624,Nuuk,GL,64.1835,-51.7216,0.43,74,26,8.66,Clouds
625,Pemba,MZ,-12.974,40.5178,86.7,55,75,14.0,Clouds
626,Seminole,US,28.7086,-81.2081,69.39,95,100,4.61,Fog
627,Xai-Xai,MZ,-25.0519,33.6442,77.63,66,99,15.73,Clouds
628,Yatou,CN,37.15,122.3833,31.14,66,0,3.27,Clear
629,Taian,CN,36.1853,117.12,38.5,42,0,0.31,Clear
630,Komsomolskiy,UZ,40.4272,71.7189,41.72,65,75,9.22,Mist
631,Sibolga,ID,1.7427,98.7792,82.13,72,91,3.56,Clouds
632,Tucuman,AR,-26.8241,-65.2226,71.6,94,75,4.61,Clouds
633,Luena,AO,-11.7833,19.9167,74.28,69,92,2.51,Rain
634,Sobolevo,RU,54.4299,31.8996,29.88,97,100,6.82,Clouds
635,Henties Bay,NA,-22.116,14.2845,71.58,69,7,7.47,Clear
636,Port Pirie,AU,-33.1833,138.0167,78.66,47,0,10.96,Clear
637,Prince George,CA,53.9166,-122.753,29.64,93,100,4.61,Clouds
638,Faya,SA,18.3851,42.4509,62.71,50,1,9.19,Clear
639,Kutahya,TR,39.4242,29.9833,45.19,60,94,1.79,Clouds
640,Shestakovo,RU,56.4915,103.96,-25.04,99,9,0.47,Clear
641,Abu Samrah,SY,35.3029,37.1841,52.92,56,0,8.01,Clear
642,Belmonte,BR,-15.8631,-38.8828,75.24,86,38,4.45,Clouds
643,Henderson,US,36.0397,-114.9819,56.39,65,100,12.66,Clouds
644,Siljan,NO,59.2884,9.71,43.18,72,74,20.94,Clouds
645,Mount Isa,AU,-20.7333,139.5,89.37,43,56,11.5,Clouds
646,High Level,CA,58.5169,-117.136,-7.67,100,100,1.48,Clouds
647,Imeni Zhelyabova,RU,58.9544,36.5956,33.1,100,100,4.92,Clouds
648,Japura,ID,-0.3167,102.35,83.44,67,91,5.5,Clouds
649,Balkanabat,TM,39.5108,54.3671,49.93,41,0,7.74,Clear
650,Sola,VU,-13.8833,167.55,82.4,79,100,18.63,Rain
651,Petrokamenskoye,RU,57.716,60.6484,-4.41,96,100,4.72,Clouds
652,Antalaha,MG,-14.9003,50.2788,82.67,60,3,8.57,Clear
653,Igarapava,BR,-20.0383,-47.7469,72.52,86,100,3.29,Clouds
654,Klaksvik,FO,62.2266,-6.589,27.52,61,96,25.61,Snow
655,Baturaja,ID,-4.1333,104.1667,80.85,85,94,5.03,Clouds
656,That Phanom,TH,16.9364,104.7104,78.82,47,8,16.17,Clear
657,Sri Aman,MY,1.2376,111.4621,86.09,62,40,9.22,Clouds
658,Bauchi,NG,10.5,10.0,68.99,21,100,8.12,Clouds
659,Lianzhou,CN,24.7811,112.3825,59.38,50,9,6.04,Clear
660,Vao,NC,-22.6667,167.4833,78.48,80,4,13.76,Rain
661,Barcelona,ES,41.3888,2.159,62.91,63,0,6.91,Clear
662,Nanyamba,TZ,-10.6833,39.8333,91.53,41,79,4.59,Clouds
663,Hamamatsu,JP,34.7,137.7333,47.82,55,3,7.0,Clear
664,Pangkalanbuun,ID,-2.6833,111.6167,90.07,45,100,5.57,Clouds
665,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,75.4,44,100,5.68,Clouds
666,Luancheng,CN,37.8792,114.6517,48.36,19,0,2.57,Clear
667,Ca Mau,VN,9.1769,105.15,83.55,48,100,5.21,Clouds
668,Khoy,IR,38.5504,44.9535,37.92,48,0,2.3,Clear
669,Aras,ES,42.5617,-2.356,47.75,93,0,3.44,Clear
