City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
401,Sabang,ID,79.52,Clouds,5.8933,95.3214,
402,Santa Cruz,BO,72.86,Clouds,-17.8,-63.1667,
405,Itarema,BR,76.42,Clouds,-2.9248,-39.9167,
406,Saint-Pierre,RE,83.88,Rain,-21.3393,55.4781,
410,Mahanoro,MG,84.4,Clear,-19.9,48.8,
414,Trairi,BR,77.68,Clouds,-3.2778,-39.2689,
416,Tadine,NC,79.88,Clear,-21.55,167.8833,
418,Dubti,ET,81.14,Clouds,11.7361,41.0853,
420,Thinadhoo,MV,81.34,Clouds,0.5333,72.9333,
421,Yulara,AU,92.97,Clouds,-25.2406,130.9889,
423,Parkes,AU,85.35,Clouds,-33.1333,148.1833,
425,Kloulklubed,PW,82.99,Clouds,7.0419,134.2556,
430,Amapa,BR,69.4,Clouds,1.0,-52.0,
433,Gopalpur,IN,78.69,Clear,19.2667,84.9167,
435,Mugango,TZ,77.18,Clouds,-1.6833,33.7,
436,Kununurra,AU,80.58,Clouds,-15.7667,128.7333,
437,Kyabe,TD,84.15,Clouds,9.4515,18.9449,
445,San Felipe,VE,71.13,Clouds,10.3399,-68.7425,
446,Roebourne,AU,87.42,Clear,-20.7833,117.1333,
447,Alto Araguaia,BR,69.17,Clouds,-17.3147,-53.2153,
449,Koulikoro,ML,73.47,Clouds,14.0,-7.75,
452,Pochutla,MX,69.82,Clouds,15.7432,-96.4661,
453,Yabelo,ET,74.86,Clear,4.8833,38.0833,
459,Lorengau,PG,81.81,Clouds,-2.0226,147.2712,
460,Puerto Asis,CO,70.57,Clouds,0.5133,-76.5007,
461,Nautla,MX,71.69,Clouds,20.2167,-96.7833,
462,Puerto Narino,CO,70.77,Clouds,-3.7703,-70.3831,
464,Juazeiro,BR,71.78,Rain,-9.4117,-40.4986,
465,Arlit,NE,66.4,Clear,18.7369,7.3853,
466,Taoudenni,ML,67.84,Clouds,22.6783,-3.9836,
467,Conceicao Do Araguaia,BR,71.04,Clouds,-8.2578,-49.2647,
468,Mont-Dore,NC,82.0,Clear,-22.2833,166.5833,
471,Port Blair,IN,82.44,Clouds,11.6667,92.75,
475,Nouadhibou,MR,66.18,Clear,20.931,-17.0347,
476,Tabuk,PH,73.9,Clouds,17.4189,121.4443,
479,Ballitoville,ZA,74.25,Clouds,-29.539,31.2144,
481,Upleta,IN,82.45,Clear,21.7333,70.2833,
482,Olinda,BR,80.33,Clouds,-8.0089,-34.8553,
484,Vryburg,ZA,79.38,Clouds,-26.9566,24.7284,
488,Tual,ID,82.71,Rain,-5.6667,132.75,
494,Salalah,OM,81.5,Clear,17.0151,54.0924,
500,Tsiroanomandidy,MG,82.6,Rain,-18.7667,46.0333,
501,Kudahuvadhoo,MV,81.14,Clouds,2.6708,72.8944,
503,Sungairaya,ID,82.22,Clouds,0.7,108.9,
505,Sao Felix Do Xingu,BR,69.35,Clouds,-6.6447,-51.995,
506,Mirandopolis,BR,70.79,Clouds,-21.1336,-51.1017,
509,The Valley,AI,78.1,Clear,18.217,-63.0578,
510,Sechura,PE,69.71,Clouds,-5.5569,-80.8222,
512,Merauke,ID,79.9,Rain,-8.4667,140.3333,
514,Talara,PE,70.3,Clouds,-4.5772,-81.2719,
515,Juruti,BR,73.38,Clouds,-2.1522,-56.0922,
517,Myingyan,MM,80.91,Clear,21.4667,95.3833,
520,Rey Bouba,CM,81.18,Clouds,8.6724,14.1786,
522,Kalakamati,BW,81.23,Clouds,-20.5929,27.3121,
524,Marzuq,YE,71.58,Clear,14.4,46.4667,
527,Emerald,AU,87.35,Clouds,-23.5333,148.1667,
532,Plettenberg Bay,ZA,70.61,Clear,-34.0527,23.3716,
538,Aloleng,PH,81.75,Clouds,16.1307,119.7824,
539,Broken Hill,AU,93.79,Clouds,-31.95,141.4333,
540,Mogadishu,SO,83.16,Clouds,2.0371,45.3438,
541,Ixtapa,MX,68.23,Clear,20.7,-105.2,
545,Lagos,NG,75.52,Clouds,6.5833,3.75,
548,Muisne,EC,74.8,Rain,0.6,-80.0333,
549,Itanagar,IN,68.13,Clouds,27.1,93.6167,
551,Boyolangu,ID,80.74,Clouds,-8.1181,111.8935,
552,Ambovombe,MG,84.42,Clouds,-25.1667,46.0833,
553,Key West,US,75.0,Clear,24.5557,-81.7826,
554,Hirara,JP,69.66,Clouds,24.8,125.2833,
556,Binga,ZW,82.02,Rain,-17.6203,27.3414,
557,Sur,OM,74.52,Clear,22.5667,59.5289,
558,Kolar,IN,81.36,Clouds,13.1333,78.1333,
